,Price,Baths,Beds,Square_Feet,Year_Built,Garages,Lot_SqFt,Date_Sold,Days_On_Market
0,1000000,3.0,4,2889,2003,3,8786,07/14/2023,39
1,640000,2.1,2,1867,1990,2,4792,07/14/2023,30
2,999000,3.0,4,3103,2018,3,7339,07/12/2023,86
3,862000,2.1,4,2680,1999,3,8133,07/11/2023,44
4,630000,2.1,3,1888,2014,2,4147,07/11/2023,73
5,475000,2.0,2,1227,2007,2,0,07/11/2023,37
6,512000,2.0,2,1398,0,2,4740,07/11/2023,136
7,809000,2.0,4,1939,1990,2,7902,07/11/2023,38
8,970000,3.1,4,2478,1996,3,11838,07/10/2023,32
9,348000,1.0,1,750,2007,0,0,07/10/2023,50
10,175000,2.0,2,1440,1977,0,0,07/10/2023,40
11,1210000,4.0,6,4227,2001,4,11385,07/10/2023,29
12,1125000,3.0,5,3740,2001,3,10565,07/10/2023,46
13,1475000,3.1,5,3555,2002,3,12972,07/10/2023,17
14,668995,2.0,2,1596,2023,2,4946,07/08/2023,136
15,676495,2.1,2,1542,2022,2,7734,07/08/2023,299
16,618000,3.0,3,1822,1993,2,3598,07/07/2023,288
17,930000,2.1,4,2745,1979,2,16647,07/07/2023,31
18,755000,2.0,4,1878,2002,2,9209,07/06/2023,31
19,715000,3.0,4,1755,1993,3,7405,07/05/2023,66
20,734000,2.0,3,1876,1999,3,8925,07/05/2023,39
21,778888,2.0,3,1974,1999,3,6730,07/05/2023,38
22,815000,3.0,4,2745,1987,3,13018,07/05/2023,108
23,830000,3.0,4,2075,1990,3,8102,07/05/2023,33
24,1150000,3.0,4,3136,1987,2,33430,07/03/2023,37
25,970000,4.0,6,3132,1990,3,7767,07/03/2023,40
26,915000,3.0,6,3507,1999,3,8908,07/03/2023,46
27,451000,1.0,3,1039,1955,0,6007,06/30/2023,25
28,587500,2.1,3,1330,1995,2,3899,06/30/2023,66
29,575000,2.0,3,1921,1983,2,3803,06/30/2023,80
30,644000,3.0,4,2079,2014,2,3537,06/29/2023,52
0,875000,2.1,3,2438,2001,2,11657,06/29/2023,58
1,840000,3.0,4,2779,1990,3,8202,06/29/2023,45
2,506000,2.0,2,1728,2006,2,0,06/29/2023,38
3,890000,3.0,4,3134,1998,3,6991,06/28/2023,72
4,610000,2.0,3,1313,1994,2,5828,06/28/2023,66
5,429000,2.0,2,1053,2007,1,0,06/28/2023,44
6,815000,2.0,4,2043,2013,3,7614,06/27/2023,61
7,515000,2.0,2,1313,2007,2,0,06/27/2023,58
8,1799000,3.0,4,3475,2022,2,10607,06/27/2023,66
9,1180000,3.1,5,3269,1991,3,10454,06/27/2023,60
10,760000,2.0,3,1777,2013,3,10289,06/26/2023,51
11,930000,3.0,4,2337,2000,3,8908,06/26/2023,44
12,455000,2.0,3,1267,2006,2,0,06/23/2023,67
13,720000,2.1,3,1862,2019,2,3485,06/23/2023,45
14,1040000,3.0,5,3040,2014,3,6077,06/23/2023,53
15,705000,2.0,3,1757,1990,3,9200,06/23/2023,59
16,675000,2.1,3,1929,1997,3,6277,06/22/2023,66
17,750000,2.0,4,2006,1998,3,6826,06/22/2023,46
18,764900,3.0,4,2434,1997,3,5981,06/21/2023,66
19,615000,2.0,2,1484,2001,2,3803,06/21/2023,55
20,575000,2.0,3,1470,1977,2,8529,06/21/2023,51
21,1250000,4.1,5,5060,1991,4,16420,06/21/2023,59
22,802000,2.1,3,2436,2003,2,5750,06/21/2023,62
23,665000,2.0,3,1457,1994,2,5771,06/21/2023,38
24,1175000,4.1,6,4831,1991,3,12882,06/21/2023,73
25,1377777,3.3,4,4390,2005,3,18642,06/20/2023,66
26,631500,2.1,2,1867,1989,2,4156,06/20/2023,51
27,395000,2.0,2,1077,2007,0,0,06/16/2023,65
28,190000,2.0,2,1224,1973,0,0,06/16/2023,75
29,520000,2.0,2,1164,1997,2,3825,06/16/2023,107
30,679500,2.0,3,1784,2019,2,4726,06/16/2023,67
0,825000,3.0,4,2689,2004,3,6046,06/16/2023,63
1,793666,2.1,4,2444,0,2,4250,06/16/2023,135
2,732000,3.0,3,2113,1990,2,4792,06/16/2023,66
3,1300000,5.0,6,4509,1993,3,11975,06/16/2023,59
4,1299000,3.1,5,4243,1998,3,10123,06/16/2023,94
5,750000,2.1,3,2588,1985,3,12156,06/15/2023,52
6,675000,2.1,3,1867,1990,2,4312,06/15/2023,81
7,160000,2.0,2,1296,1977,0,0,06/13/2023,122
8,802724,3.0,4,2611,0,2,4250,06/13/2023,86
9,690000,2.0,4,1574,1996,2,6477,06/12/2023,59
10,650000,2.0,3,1406,1979,2,12247,06/12/2023,60
11,905000,3.1,4,2917,2019,3,5776,06/12/2023,59
12,808995,2.1,2,2128,2022,2,6017,06/12/2023,299
13,950000,3.0,3,2576,1996,3,15875,06/12/2023,86
14,165000,2.0,2,1440,1973,0,0,06/09/2023,100
15,1187000,3.0,4,3999,2004,3,14696,06/09/2023,62
16,1485000,2.1,3,2336,1976,3,94802,06/09/2023,82
17,745000,3.0,4,1851,2006,2,5123,06/09/2023,74
18,946000,3.1,4,3182,2001,3,12564,06/08/2023,40
19,2165000,4.1,5,4992,0,3,16284,06/07/2023,194
20,1560000,4.1,5,4001,2021,3,9649,06/07/2023,114
21,784875,3.0,4,2452,1989,3,8934,06/06/2023,100
22,800000,2.1,4,2129,1997,3,6826,06/06/2023,81
23,740000,2.1,4,2763,1980,3,12882,06/05/2023,80
24,1025000,2.1,4,2912,1982,3,16238,06/05/2023,86
25,664500,2.0,3,1313,1995,2,5963,06/02/2023,87
26,756000,2.0,4,2023,1992,3,8276,06/02/2023,73
27,685000,2.0,4,2086,1999,2,10454,06/02/2023,103
28,1580000,3.1,4,3266,2023,3,12201,06/02/2023,121
29,435000,2.0,2,1136,2007,1,0,06/02/2023,93
30,530000,2.1,3,1439,1994,2,3093,06/02/2023,103
0,862000,3.0,4,2654,1983,3,17100,06/02/2023,66
1,777784,3.0,4,2404,0,2,4687,06/01/2023,87
2,550000,2.0,2,1791,1979,2,2108,05/31/2023,88
3,1175000,3.1,4,3089,1974,5,24040,05/31/2023,68
4,805000,3.0,4,2322,2014,2,6438,05/31/2023,87
5,1665000,4.2,5,3570,2022,3,9744,05/31/2023,87
6,785000,3.0,4,1987,1986,2,8581,05/31/2023,72
7,740000,3.0,4,1851,2005,2,5040,05/31/2023,80
8,616392,2.0,3,1429,0,2,4200,05/30/2023,113
9,1457820,4.1,5,3753,2020,2,8608,05/30/2023,240
10,858000,3.0,4,2576,1984,2,10698,05/30/2023,95
11,560000,2.0,3,1279,1987,2,5998,05/30/2023,65
12,628563,2.0,4,1685,0,2,4850,05/26/2023,113
13,740000,2.0,3,1891,1987,2,7270,05/26/2023,93
14,725000,2.0,3,1767,1987,3,10080,05/26/2023,122
15,950000,3.0,4,2559,1986,3,13245,05/26/2023,86
16,525000,2.1,3,1381,1994,2,2451,05/25/2023,93
17,710000,2.1,4,2206,1993,3,6534,05/25/2023,74
18,85000,1.1,2,960,1969,0,0,05/25/2023,142
19,758809,2.1,3,2380,2023,2,6465,05/25/2023,93
20,758809,2.1,3,2190,2023,2,6465,05/25/2023,94
21,113380,2.0,3,1152,1976,0,0,05/25/2023,181
22,805000,2.1,4,2662,2020,2,7980,05/24/2023,74
23,497000,1.0,3,1032,1960,1,8272,05/24/2023,79
24,665000,2.0,3,1434,2002,2,6669,05/24/2023,80
25,175000,2.0,2,1344,1979,0,0,05/24/2023,247
26,90000,2.0,2,1200,1971,0,0,05/24/2023,510
27,1211534,3.1,3,2626,2023,3,8608,05/23/2023,141
28,665000,1.0,2,995,1955,1,7000,05/23/2023,88
29,440000,2.0,3,1346,1959,2,9178,05/23/2023,93
30,520000,3.0,3,1350,1995,2,2936,05/23/2023,93
0,1300000,2.1,4,3097,2004,3,11884,05/23/2023,82
1,1005000,3.1,4,3023,1987,3,13381,05/22/2023,108
2,830000,3.0,4,2383,1984,3,10289,05/22/2023,87
3,350000,1.0,1,750,2006,0,0,05/22/2023,127
4,935000,3.0,4,3063,2003,2,7479,05/22/2023,81
5,699000,2.0,4,1595,1999,2,5882,05/22/2023,86
6,815000,3.0,5,2968,1991,3,7261,05/19/2023,93
7,639786,2.0,3,1500,0,2,4493,05/19/2023,156
8,838000,2.0,4,2270,2013,3,7527,05/18/2023,87
9,1738000,3.1,4,4016,2019,3,18733,05/18/2023,94
10,925000,3.0,5,2825,2004,4,8324,05/18/2023,94
11,1289500,3.0,4,2950,1988,3,11793,05/17/2023,93
12,799000,3.0,4,2256,1990,3,8276,05/17/2023,102
13,599000,2.0,3,2153,1984,2,3488,05/17/2023,101
14,940000,3.0,4,2689,2003,3,6652,05/16/2023,88
15,540000,2.0,3,1429,0,2,4103,05/15/2023,619
16,800000,2.0,3,1734,1982,2,12201,05/15/2023,87
17,165000,2.0,2,1440,1976,0,0,05/15/2023,185
18,450000,2.0,2,1427,2007,1,0,05/15/2023,89
19,751275,2.1,4,2689,0,2,6625,05/12/2023,149
20,425000,2.0,2,1120,2007,1,0,05/12/2023,124
21,796995,2.1,2,2012,2022,2,5623,05/12/2023,244
22,800000,3.0,4,2350,1999,3,7667,05/12/2023,80
23,582206,2.0,3,1429,0,2,4050,05/11/2023,139
24,565000,2.0,3,1975,1987,2,4090,05/10/2023,138
25,680000,2.0,4,1939,1990,2,7632,05/10/2023,93
26,685000,2.0,3,1784,2019,2,5009,05/10/2023,94
27,735000,3.0,4,2130,1998,2,8276,05/09/2023,87
28,725000,2.1,3,2033,2004,2,6543,05/09/2023,101
29,626000,3.0,3,1721,1997,2,4617,05/09/2023,93
30,660000,2.1,3,2074,2017,2,2413,05/09/2023,93
0,830000,3.0,4,2453,1990,3,7588,05/09/2023,88
1,780000,2.1,4,2599,1991,3,8163,05/08/2023,114
2,759800,2.0,3,2017,2014,3,8146,05/08/2023,95
3,860000,2.1,2,2350,1996,2,4356,05/08/2023,94
4,565000,2.0,3,1912,1980,2,2657,05/05/2023,124
5,766000,2.1,3,2025,1994,2,5027,05/05/2023,93
6,715000,3.0,4,1834,1999,2,9601,05/04/2023,108
7,800000,3.0,3,2350,1999,3,7841,05/04/2023,87
8,1105000,4.1,5,3692,2003,3,7187,05/04/2023,165
9,660000,2.0,3,1806,1980,2,10785,05/03/2023,211
10,922500,3.0,4,2567,2002,2,6260,05/03/2023,101
11,705000,2.0,3,2090,2001,2,7505,05/03/2023,136
12,570000,2.0,3,1429,0,2,4000,05/02/2023,121
13,120800,2.0,2,1340,1970,0,0,05/02/2023,111
14,808400,2.0,3,2360,1980,2,14106,05/01/2023,94
15,230000,2.0,2,1440,1979,0,0,04/28/2023,170
16,565000,2.0,3,1372,1960,0,9910,04/28/2023,96
17,709000,2.0,3,1773,2000,2,6098,04/28/2023,101
18,881000,3.0,4,2315,1992,3,12836,04/28/2023,129
19,1960000,5.0,4,4490,2019,2,29801,04/28/2023,121
20,272000,2.0,2,1440,1971,0,0,04/28/2023,107
21,672500,2.1,3,1771,2002,2,6129,04/27/2023,151
22,695000,2.0,4,1824,1985,2,7588,04/26/2023,129
23,535000,2.1,2,1434,2005,2,0,04/26/2023,103
24,485000,2.0,2,1012,2001,2,3929,04/26/2023,114
25,577000,2.0,3,1258,1995,2,5388,04/24/2023,108
26,800000,3.0,4,3154,1999,3,6739,04/24/2023,107
27,799000,2.0,6,2302,1990,1,9135,04/24/2023,157
28,625000,2.1,3,1935,2011,2,2587,04/24/2023,235
29,700000,3.0,4,2258,1987,2,6922,04/24/2023,137
30,650000,2.0,2,975,1926,0,14288,04/21/2023,119
0,779000,3.0,4,2338,1984,2,11430,04/21/2023,170
1,735000,3.0,4,2258,1989,2,8176,04/21/2023,122
2,621150,2.0,3,1344,2005,2,4726,04/21/2023,115
3,980000,2.1,3,2434,1984,5,24449,04/20/2023,114
4,659000,3.0,4,2105,2004,2,3598,04/20/2023,107
5,480000,2.0,2,1313,2007,2,0,04/19/2023,127
6,337500,1.0,1,750,2007,1,0,04/19/2023,123
7,990000,3.1,5,3310,2003,2,7057,04/18/2023,143
8,925000,2.1,4,3176,2006,3,6412,04/18/2023,158
9,685000,2.0,2,1803,2004,2,7971,04/18/2023,114
10,740000,3.0,3,2504,2005,2,8028,04/18/2023,184
11,1200000,3.1,3,2962,2005,3,9265,04/17/2023,136
12,625000,2.0,3,1327,2000,2,6199,04/17/2023,116
13,760000,2.0,3,1687,2005,3,9814,04/17/2023,156
